psgc,barangay,city
"PH137501056","Barangay 56","Unknown"
"PH137501057","Barangay 57","Unknown"
"PH137501058","Barangay 58","Unknown"
"PH137501059","Barangay 59","Unknown"
"PH137501060","Barangay 60","Unknown"
"PH137501061","Barangay 61","Unknown"
"PH137501062","Barangay 62","Unknown"
"PH137501063","Barangay 63","Unknown"
"PH137501064","Barangay 64","Unknown"
"PH137501065","Barangay 65","Unknown"
"PH137501066","Barangay 66","Unknown"
"PH137501067","Barangay 67","Unknown"
"PH137501068","Barangay 68","Unknown"
"PH137501069","Barangay 69","Unknown"
"PH137501070","Barangay 70","Unknown"
"PH137501071","Barangay 71","Unknown"
"PH137501072","Barangay 72","Unknown"
"PH137501073","Barangay 73","Unknown"
"PH137501074","Barangay 74","Unknown"
"PH137501075","Barangay 75","Unknown"
"PH137501076","Barangay 76","Unknown"
"PH137501077","Barangay 77","Unknown"
"PH137501078","Barangay 78","Unknown"
"PH137501079","Barangay 79","Unknown"
"PH137501080","Barangay 80","Unknown"
"PH137501081","Barangay 81","Unknown"
"PH137501082","Barangay 82","Unknown"
"PH137501083","Barangay 83","Unknown"
"PH137501084","Barangay 84","Unknown"
"PH137501085","Barangay 85","Unknown"
"PH137501086","Barangay 86","Unknown"
"PH137501087","Barangay 87","Unknown"
"PH137501088","Barangay 88","Unknown"
"PH137501089","Barangay 89","Unknown"
"PH137501090","Barangay 90","Unknown"
"PH137501091","Barangay 91","Unknown"
"PH137501092","Barangay 92","Unknown"
"PH137501093","Barangay 93","Unknown"
"PH137501094","Barangay 94","Unknown"
"PH137501095","Barangay 95","Unknown"
"PH137501096","Barangay 96","Unknown"
"PH137501097","Barangay 97","Unknown"
"PH137501098","Barangay 98","Unknown"
"PH137501099","Barangay 99","Unknown"
"PH137501100","Barangay 100","Unknown"
"PH137501101","Barangay 101","Unknown"
"PH137501102","Barangay 102","Unknown"
"PH137501103","Barangay 103","Unknown"
"PH137501104","Barangay 104","Unknown"
"PH137501105","Barangay 105","Unknown"
"PH137501106","Barangay 106","Unknown"
"PH137501107","Barangay 107","Unknown"
"PH137501108","Barangay 108","Unknown"
"PH137501109","Barangay 109","Unknown"
"PH137501110","Barangay 110","Unknown"
"PH137501111","Barangay 111","Unknown"
"PH137501112","Barangay 112","Unknown"
"PH137501113","Barangay 113","Unknown"
"PH137501114","Barangay 114","Unknown"
"PH137501115","Barangay 115","Unknown"
"PH137501116","Barangay 116","Unknown"
"PH137501117","Barangay 117","Unknown"
"PH137501118","Barangay 118","Unknown"
"PH137501119","Barangay 119","Unknown"
"PH137501120","Barangay 120","Unknown"
"PH137501121","Barangay 121","Unknown"
"PH137501122","Barangay 122","Unknown"
"PH137501123","Barangay 123","Unknown"
"PH137501124","Barangay 124","Unknown"
"PH137501125","Barangay 125","Unknown"
"PH137501126","Barangay 126","Unknown"
"PH137501127","Barangay 127","Unknown"
"PH137501128","Barangay 128","Unknown"
"PH137501129","Barangay 129","Unknown"
"PH137501130","Barangay 130","Unknown"
"PH137501131","Barangay 131","Unknown"
"PH137501132","Barangay 132","Unknown"
"PH137501133","Barangay 133","Unknown"
"PH137501134","Barangay 134","Unknown"
"PH137501135","Barangay 135","Unknown"
"PH137501136","Barangay 136","Unknown"
"PH137501137","Barangay 137","Unknown"
"PH137501138","Barangay 138","Unknown"
"PH137501139","Barangay 139","Unknown"
"PH137501140","Barangay 140","Unknown"
"PH137501141","Barangay 141","Unknown"
"PH137501142","Barangay 142","Unknown"
"PH137501143","Barangay 143","Unknown"
"PH137501144","Barangay 144","Unknown"
"PH137501145","Barangay 145","Unknown"
"PH137501146","Barangay 146","Unknown"
"PH137501147","Barangay 147","Unknown"
"PH137501148","Barangay 148","Unknown"
"PH137501149","Barangay 149","Unknown"
"PH137501150","Barangay 150","Unknown"
"PH137501151","Barangay 151","Unknown"
"PH137501152","Barangay 152","Unknown"
"PH137501153","Barangay 153","Unknown"
"PH137501154","Barangay 154","Unknown"
"PH137501155","Barangay 155","Unknown"
"PH137501156","Barangay 156","Unknown"
"PH137501157","Barangay 157","Unknown"
"PH137501158","Barangay 158","Unknown"
"PH137501159","Barangay 159","Unknown"
"PH137501160","Barangay 160","Unknown"
"PH137501161","Barangay 161","Unknown"
"PH137501162","Barangay 162","Unknown"
"PH137501163","Barangay 163","Unknown"
"PH137501164","Barangay 164","Unknown"
"PH137501165","Barangay 165","Unknown"
"PH137501166","Barangay 166","Unknown"
"PH137501167","Barangay 167","Unknown"
"PH137501168","Barangay 168","Unknown"
"PH137501169","Barangay 169","Unknown"
"PH137501170","Barangay 170","Unknown"
"PH137501171","Barangay 171","Unknown"
"PH137501172","Barangay 172","Unknown"
"PH137501173","Barangay 173","Unknown"
"PH137501174","Barangay 174","Unknown"
"PH137501175","Barangay 175","Unknown"
"PH137501176","Barangay 176","Unknown"
"PH137501177","Barangay 177","Unknown"
"PH137501178","Barangay 178","Unknown"
"PH137501179","Barangay 179","Unknown"
"PH137501180","Barangay 180","Unknown"
"PH137501181","Barangay 181","Unknown"
"PH137501182","Barangay 182","Unknown"
"PH137501183","Barangay 183","Unknown"
"PH137501184","Barangay 184","Unknown"
"PH137501185","Barangay 185","Unknown"
"PH137501186","Barangay 186","Unknown"
"PH137501187","Barangay 187","Unknown"
"PH137501188","Barangay 188","Unknown"
"PH137502001","Acacia","Unknown"
"PH137502002","Baritan","Unknown"
"PH137502003","Bayan-bayanan","Unknown"
"PH137502004","Catmon","Unknown"
"PH137502005","Concepcion","Unknown"
"PH137502006","Dampalit","Unknown"
"PH137502007","Flores","Unknown"
"PH137502008","Hulong Duhat","Unknown"
"PH137502009","Ibaba","Unknown"
"PH137502010","Longos","Unknown"
"PH137502011","Maysilo","Unknown"
"PH137502012","Muzon","Unknown"
"PH137502013","Niugan","Unknown"
"PH137502014","Panghulo","Unknown"
"PH137502015","Potrero","Unknown"
"PH137502016","San Agustin","Unknown"
"PH137502017","Santolan","Unknown"
"PH137502018","Tañong (Pob.)","Unknown"
"PH137502019","Tinajeros","Unknown"
